WLEN,Fly,Cage,,
58.5,F1,C1,,"Wing lengths in micrometer units, left wings of mosquitoes. Two"
59.5,F1,C1,,measurements on each of 4 females from 3 cages.  Data from Sokal
77.8,F2,C1,,and Rohlf 1969 Biometry Box 10.1  p260.
80.9,F2,C1,,
84,F3,C1,,
83.6,F3,C1,,
70.1,F4,C1,,
68.3,F4,C1,,
69.8,F1,C2,,
69.8,F1,C2,,
56,F2,C2,,
54.5,F2,C2,,
50.7,F3,C2,,
49.3,F3,C2,,
63.8,F4,C2,,
65.8,F4,C2,,
56.6,F1,C3,,
57.5,F1,C3,,
77.8,F2,C3,,
79.2,F2,C3,,
69.9,F3,C3,,
69.2,F3,C3,,
62.1,F4,C3,,
64.5,F4,C3,,
