Yield,Trtmnt,Pot,,Wheat Yields (g) from Cornell 1971
20.6,None,P1,," 4 fertilizer treatments, 12 pots, three wheat plants/pot"
22.3,None,P1,,
19.8,None,P1,,
23.4,None,P2,,
21.9,None,P2,,
22.8,None,P2,,
21.8,None,P3,,
20.6,None,P3,,
21.3,None,P3,,
13.6,Straw,P1,,
13.9,Straw,P1,,
14.2,Straw,P1,,
13.7,Straw,P2,,
14.5,Straw,P2,,
13.8,Straw,P2,,
12.9,Straw,P3
13.1,Straw,P3
13.4,Straw,P3
14.8,StrawPO4,P1
14.6,StrawPO4,P1
14.9,StrawPO4,P1
14.3,StrawPO4,P2
13.9,StrawPO4,P2
13.5,StrawPO4,P2
14.4,StrawPO4,P3
13.8,StrawPO4,P3
14.1,StrawPO4,P3
14.1,StPO4Lime,P1
13.8,StPO4Lime,P1
14.3,StPO4Lime,P1
14,StPO4Lime,P2
13.9,StPO4Lime,P2
14.2,StPO4Lime,P2
14.4,StPO4Lime,P3
14.1,StPO4Lime,P3
13.6,StPO4Lime,P3


,,
,,
